time,qw,qx,qy,qz
5,0.74213,-0.04791,0.01538,0.66833
10,0.74213,-0.04767,0.01550,0.66833
15,0.74213,-0.04767,0.01593,0.66833
19,0.74213,-0.04779,0.01654,0.66827
24,0.74213,-0.04791,0.01703,0.66821
29,0.74213,-0.04810,0.01746,0.66821
34,0.74219,-0.04828,0.01782,0.66815
39,0.74219,-0.04840,0.01825,0.66809
44,0.74219,-0.04846,0.01862,0.66809
50,0.74219,-0.04846,0.01880,0.66809
55,0.74213,-0.04840,0.01874,0.66815
59,0.74207,-0.04822,0.01831,0.66827
64,0.74194,-0.04803,0.01758,0.66846
69,0.74182,-0.04773,0.01648,0.66858
74,0.74176,-0.04736,0.01526,0.66870
79,0.74176,-0.04675,0.01398,0.66882
84,0.74176,-0.04602,0.01263,0.66895
88,0.74176,-0.04498,0.01141,0.66895
95,0.74188,-0.04425,0.01001,0.66895
100,0.74207,-0.04309,0.00726,0.66882
105,0.74255,-0.04248,0.00482,0.66833
109,0.74231,-0.04114,0.00513,0.66870
114,0.74213,-0.04175,0.00525,0.66882
119,0.74213,-0.04126,0.00507,0.66888
124,0.74207,-0.04089,0.00360,0.66901
129,0.74213,-0.04120,0.00421,0.66895
134,0.74213,-0.04132,0.00464,0.66895
139,0.74207,-0.04108,0.00372,0.66901
143,0.74207,-0.04114,0.00366,0.66901
148,0.74207,-0.04114,0.00372,0.66901
153,0.74207,-0.04095,0.00342,0.66901
162,0.74207,-0.04095,0.00342,0.66901
172,0.74207,-0.04083,0.00342,0.66907
183,0.74200,-0.04077,0.00330,0.66907
193,0.74200,-0.04071,0.00330,0.66907
202,0.74200,-0.04065,0.00323,0.66907
213,0.74200,-0.04059,0.00317,0.66913
222,0.74200,-0.04059,0.00311,0.66913
233,0.74200,-0.04053,0.00311,0.66913
242,0.74194,-0.04047,0.00311,0.66913
253,0.74194,-0.04041,0.00311,0.66913
262,0.74194,-0.04028,0.00317,0.66919
273,0.74194,-0.04016,0.00317,0.66919
282,0.74194,-0.04010,0.00317,0.66919
292,0.74194,-0.03998,0.00317,0.66919
303,0.74194,-0.03992,0.00317,0.66919
312,0.74194,-0.03992,0.00311,0.66919
323,0.74194,-0.03986,0.00311,0.66919
332,0.74194,-0.03986,0.00311,0.66925
343,0.74194,-0.03979,0.00305,0.66925
353,0.74188,-0.03979,0.00305,0.66925
363,0.74188,-0.03973,0.00299,0.66925
373,0.74188,-0.03973,0.00299,0.66925
383,0.74188,-0.03967,0.00299,0.66931
392,0.74188,-0.03961,0.00299,0.66931
403,0.74188,-0.03961,0.00299,0.66931
412,0.74188,-0.03955,0.00299,0.66931
423,0.74188,-0.03949,0.00299,0.66931
432,0.74188,-0.03949,0.00299,0.66931
442,0.74188,-0.03949,0.00299,0.66931
453,0.74188,-0.03943,0.00299,0.66931
462,0.74188,-0.03937,0.00299,0.66931
473,0.74182,-0.03925,0.00305,0.66937
483,0.74182,-0.03918,0.00305,0.66937
493,0.74182,-0.03906,0.00311,0.66937
503,0.74182,-0.03900,0.00311,0.66937
512,0.74182,-0.03900,0.00311,0.66937
523,0.74182,-0.03900,0.00305,0.66943
533,0.74176,-0.03906,0.00293,0.66943
543,0.74176,-0.03912,0.00287,0.66943
553,0.74176,-0.03912,0.00275,0.66949
563,0.74170,-0.03918,0.00275,0.66949
573,0.74170,-0.03931,0.00269,0.66956
583,0.74164,-0.03937,0.00262,0.66956
593,0.74164,-0.03949,0.00256,0.66956
602,0.74158,-0.03967,0.00250,0.66962
613,0.74158,-0.03992,0.00244,0.66962
623,0.74158,-0.04010,0.00238,0.66962
633,0.74158,-0.04028,0.00232,0.66962
643,0.74158,-0.04053,0.00226,0.66962
656,0.74152,-0.04065,0.00226,0.66962
668,0.74152,-0.04083,0.00238,0.66962
678,0.74152,-0.04108,0.00250,0.66962
688,0.74146,-0.04126,0.00269,0.66968
698,0.74139,-0.04138,0.00287,0.66968
708,0.74133,-0.04138,0.00317,0.66974
718,0.74133,-0.04083,0.00409,0.66986
729,0.74133,-0.03943,0.00482,0.66986
739,0.74127,-0.03912,0.00476,0.66998
749,0.74121,-0.03967,0.00494,0.67004
759,0.74121,-0.03967,0.00568,0.66998
770,0.74121,-0.03937,0.00580,0.66998
780,0.74121,-0.03937,0.00586,0.66998
790,0.74127,-0.03967,0.00616,0.66998
800,0.74127,-0.03998,0.00629,0.66992
810,0.74127,-0.03998,0.00635,0.66992
821,0.74127,-0.04010,0.00653,0.66992
831,0.74127,-0.04028,0.00659,0.66992
841,0.74127,-0.04034,0.00671,0.66992
851,0.74127,-0.04034,0.00684,0.66992
861,0.74127,-0.04041,0.00690,0.66986
871,0.74127,-0.04065,0.00702,0.66986
882,0.74127,-0.04089,0.00714,0.66986
895,0.74133,-0.04108,0.00726,0.66980
905,0.74133,-0.04132,0.00739,0.66980
916,0.74133,-0.04150,0.00745,0.66974
926,0.74133,-0.04175,0.00751,0.66974
936,0.74133,-0.04193,0.00757,0.66974
946,0.74133,-0.04211,0.00763,0.66974
957,0.74133,-0.04218,0.00763,0.66974
966,0.74133,-0.04224,0.00769,0.66974
975,0.74133,-0.04230,0.00769,0.66974
984,0.74133,-0.04236,0.00769,0.66974
993,0.74133,-0.04236,0.00769,0.66974
1002,0.74127,-0.04242,0.00769,0.66974
1011,0.74127,-0.04242,0.00775,0.66974
1020,0.74127,-0.04248,0.00775,0.66974
1028,0.74127,-0.04248,0.00775,0.66974
1037,0.74127,-0.04248,0.00775,0.66974
1047,0.74127,-0.04254,0.00775,0.66974
1057,0.74127,-0.04254,0.00775,0.66974
1068,0.74127,-0.04254,0.00775,0.66974
1079,0.74127,-0.04260,0.00781,0.66974
1089,0.74127,-0.04260,0.00781,0.66974
1099,0.74127,-0.04260,0.00781,0.66974
1109,0.74127,-0.04266,0.00781,0.66974
1119,0.74127,-0.04266,0.00781,0.66968
1129,0.74133,-0.04266,0.00781,0.66968
1140,0.74133,-0.04260,0.00787,0.66968
1150,0.74133,-0.04260,0.00793,0.66968
1160,0.74133,-0.04254,0.00793,0.66968
1170,0.74133,-0.04254,0.00793,0.66968
1181,0.74133,-0.04254,0.00793,0.66968
1191,0.74133,-0.04260,0.00793,0.66968
1201,0.74133,-0.04266,0.00787,0.66968
1211,0.74127,-0.04272,0.00787,0.66968
1221,0.74127,-0.04266,0.00787,0.66974
1232,0.74127,-0.04266,0.00787,0.66974
1242,0.74127,-0.04272,0.00787,0.66968
1252,0.74127,-0.04272,0.00787,0.66968
1262,0.74127,-0.04272,0.00787,0.66968
1272,0.74127,-0.04272,0.00787,0.66968
1282,0.74127,-0.04272,0.00787,0.66968
1293,0.74127,-0.04272,0.00787,0.66968
