time,accx,accy,accz
5,  -138,   129,  8139
10,  -153,   114,  8142
15,  -152,   131,  8129
20,  -146,   150,  8122
24,  -145,   161,  8123
29,  -145,   165,  8125
34,  -144,   178,  8130
39,  -147,   179,  8134
44,  -155,   167,  8143
49,  -160,   161,  8144
54,  -163,   179,  8137
58,  -165,   213,  8145
63,  -159,   231,  8164
68,  -160,   233,  8192
73,  -165,   229,  8197
78,  -177,   218,  8198
82,  -185,   232,  8189
87,  -183,   217,  8161
92,  -184,   106,  8137
97,  -150,   200,  8125
101,  -149,   226,  8129
106,  -136,   199,  8111
111,  -126,   155,  8101
116,  -125,    68,  8091
120,  -124,    26,  8090
125,  -119,    24,  8098
130,  -115,    29,  8104
135,  -119,    39,  8112
139,  -120,    37,  8128
144,  -128,    34,  8136
150,  -131,    45,  8144
160,  -128,    41,  8139
170,  -126,    39,  8136
180,  -126,    50,  8127
190,  -126,    66,  8132
200,  -119,    95,  8130
210,  -120,   110,  8138
220,  -114,   130,  8151
230,  -101,   140,  8160
240,   -97,   157,  8159
250,   -18,   -61,  8035
260,    -1,  -129,  7980
270,   -30,   -62,  8019
280,   -50,    -4,  8060
290,   -63,    27,  8090
300,   -74,    42,  8107
310,   -87,    50,  8118
320,   -92,    69,  8117
330,  -100,    78,  8117
340,   -99,    89,  8116
350,  -104,    98,  8120
360,  -103,   109,  8128
370,  -107,   109,  8134
380,  -112,   107,  8143
390,  -111,   103,  8143
400,  -112,   108,  8134
410,  -113,   113,  8131
420,  -109,   114,  8133
430,  -108,   120,  8140
440,  -111,   120,  8142
450,  -108,   120,  8145
460,  -109,   120,  8144
470,  -112,   117,  8146
480,  -113,   118,  8144
490,  -115,   121,  8142
500,  -114,   120,  8145
510,  -111,   116,  8141
520,  -111,   110,  8139
530,  -107,   106,  8137
540,  -105,   105,  8132
550,  -105,   111,  8142
560,  -107,   115,  8148
570,  -108,   119,  8158
580,  -110,   118,  8158
590,  -112,   112,  8150
600,  -109,   108,  8142
610,  -111,   113,  8140
624,  -110,   122,  8147
634,  -112,   123,  8158
644,  -113,   117,  8156
654,  -109,   112,  8149
664,  -108,   115,  8144
674,  -106,   114,  8140
684,  -107,   113,  8136
694,  -112,   111,  8145
704,  -108,   114,  8152
714,  -106,   117,  8148
724,  -110,   115,  8132
734,  -112,   112,  8137
745,  -111,   116,  8146
754,  -107,   118,  8157
764,  -104,   125,  8157
775,  -109,   125,  8148
785,  -104,   124,  8134
795,   -94,   131,  8119
805,   -91,   127,  8112
814,   -86,   134,  8122
824,   -72,   157,  8142
834,   -83,   133,  8153
844,   -91,   139,  8162
854,  -102,   136,  8147
864,  -112,   121,  8139
874,  -119,    95,  8138
884,  -125,    79,  8144
894,  -126,    89,  8151
904,  -121,   111,  8152
914,  -119,   129,  8154
924,  -115,   136,  8150
934,  -109,   140,  8143
945,  -112,   148,  8141
954,  -111,   149,  8143
965,  -108,   145,  8150
975,  -108,   143,  8145
985,  -107,   145,  8135
995,  -107,   143,  8130
1005,  -104,   143,  8134
1015,  -106,   149,  8137
1025,  -107,   148,  8143
1035,  -104,   143,  8144
1045,  -111,   149,  8141
1055,  -107,   152,  8138
1065,  -107,   160,  8130
1074,  -104,   161,  8133
1084,  -105,   160,  8130
1094,  -106,   157,  8126
1104,  -106,   153,  8131
1115,  -104,   153,  8134
1126,  -102,   148,  8134
1136,  -102,   151,  8142
1147,  -105,   153,  8150
1157,  -105,   153,  8148
1167,  -102,   155,  8139
1178,  -104,   152,  8128
1188,  -105,   146,  8128
1198,  -105,   141,  8136
1209,  -106,   144,  8134
1219,  -111,   140,  8142
1228,  -113,   131,  8147
1237,  -111,   135,  8157
1246,  -108,   141,  8147
1255,  -109,   146,  8142
1265,  -110,   144,  8142
1275,  -112,   139,  8131
1285,  -109,   143,  8125
1295,  -110,   142,  8133
1305,  -107,   152,  8139
1315,  -107,   155,  8143
1325,  -100,   157,  8146
1335,  -100,   161,  8138
1345,   -98,   160,  8133
1355,  -100,   156,  8133
1365,  -103,   147,  8130
1375,  -104,   151,  8130
1385,  -105,   157,  8130
1395,  -104,   166,  8138
1405,  -109,   172,  8148
1415,  -109,   169,  8140
1425,  -111,   169,  8127
1435,  -106,   169,  8121
1445,  -102,   170,  8121
1455,  -101,   174,  8125
1465,  -106,   173,  8136
1475,  -113,   177,  8149
1485,  -111,   178,  8160
1495,  -107,   186,  8153
1505,  -107,   190,  8147
1515,  -115,   183,  8149
1525,  -114,   178,  8149
1534,  -110,   178,  8149
1546,  -101,   166,  8143
1554,   -96,   153,  8128
1564,  -102,   134,  8116
1576,  -105,   119,  8107
1584,  -114,   128,  8110
1594,  -120,   142,  8134
1604,  -122,   142,  8157
1614,  -125,   145,  8181
1624,  -125,   150,  8178
1635,  -119,   174,  8157
1645,  -116,   187,  8152
1655,  -112,   200,  8176
1665,  -166,   334,  8271
1675,  -180,   441,  8338
1685,  -178,   219,  8606
1695,  -228,   239,  8745
1705,  -278,   240,  8955
1715,  -251,   338,  9414
1725,   -73,   417, 10000
1735,   -67,   774, 10248
1745,    33,  1177,  9882
1755,    12,  1388,  9543
1765,    36,  1321,  9283
1775,   104,  1062,  8911
1785,     7,  1294,  8498
1795,   151,  1346,  8167
1805,    76,  1768,  8347
1815,   -61,  2241,  8908
1825,   -37,  2527,  9419
1835,   -19,  2779,  9748
1845,    70,  2875,  9881
1855,   154,  2806,  9832
1865,   250,  2600,  9512
1875,   410,  2231,  9001
1885,   605,  1737,  8512
1895,   741,  1356,  8155
1905,   811,  1242,  7938
1915,   816,  1319,  7850
1925,   811,  1477,  7822
1935,   854,  1594,  7925
1945,   876,  1675,  8244
1955,   883,  1758,  8576
1965,   856,  1775,  8846
1975,   859,  1605,  8788
1985,   910,  1285,  8291
1995,  1000,   922,  7596
2005,  1050,   678,  7088
2015,  1053,   623,  6969
2025,  1033,   750,  7175
2035,  1001,  1005,  7548
2045,   952,  1341,  7922
2055,   846,  1767,  8121
2065,   654,  2121,  8002
2075,   481,  2216,  7554
2085,   435,  1924,  6848
2095,   638,   426,  5491
2105,   320,  1127,  5091
2115,   392,   903,  5671
2125,   476,   949,  6331
2135,   496,  1115,  6928
2145,   633,  1050,  7544
2155,   627,  1071,  8029
2165,   590,   954,  8070
2175,   612,   582,  7817
2185,   589,   251,  7639
2195,   472,    89,  7381
2205,   341,    48,  6928
2215,   371,    -2,  6640
2225,   467,  -153,  6727
2235,   544,  -386,  7104
2245,   629,  -638,  7527
2255,   812,  -940,  7611
2265,   950, -1206,  7418
2275,  1093, -1465,  7129
2285,  1164, -1745,  6883
2295,  1116, -1972,  6632
2305,  1108, -2106,  6363
2315,  1059, -1988,  6125
2325,   993, -1556,  6101
2335,   900, -1120,  6523
2345,   793,  -803,  7159
2355,   652,  -472,  7787
2365,   566,  -258,  8195
2375,   513,  -292,  8303
2385,   505,  -369,  8086
2395,   539,  -463,  7782
2405,   623,  -622,  7699
2415,   702,  -834,  7955
2425,   735, -1055,  8252
2435,   752, -1302,  8330
2445,   848, -1512,  8167
2455,   893, -1568,  8052
2465,   857, -1467,  7998
2475,   770, -1368,  7951
2485,   697, -1348,  7886
2495,   603, -1373,  7709
2505,   559, -1458,  7299
2515,   637, -1640,  6728
2525,   771, -1680,  6455
2535,   915, -1533,  6982
2545,   923, -1096,  8240
2555,   809,  -405,  9523
2565,   803,    31, 10246
2575,   792,   223, 10453
2585,   866,  -176, 10198
2595,  1084, -1298,  9630
2605,  1290, -2180,  8948
2615,  1360, -2205,  8590
2625,  1281, -1857,  8492
2635,  1146, -1290,  8722
2645,  1225, -1987,  8822
2655,  1042, -2071,  8859
2665,   573, -1426,  8721
2675,   336, -1493,  8356
2686,   159, -1314,  7779
2695,    -2, -1178,  7210
2706,   -95, -1181,  6773
2716,    -6, -1548,  6581
2725,    91, -1962,  6655
2736,   108, -2130,  6949
2746,   100, -2020,  7378
2756,    16, -1613,  7660
2766,  -182, -1002,  7888
2776,  -427,  -486,  8053
2786,  -612,  -196,  8198
2795,  -716,   -64,  8429
2805,  -687,   -59,  8786
2816,  -594,   -28,  9234
2825,  -541,    80,  9618
2835,  -387,   -73,  9750
2845,  -117,  -427,  9627
2855,    85,  -790,  9337
2865,   282, -1035,  8908
2876,   476, -1182,  8573
2887,  1025, -1282,  7162
2895,   499,  -849,  8065
2905,   372,  -681,  8881
2915,   300,  -679,  9544
2926,   335,  -724,  9990
2935,   389,  -688, 10073
2945,   288,  -535,  9757
2955,   139,  -452,  9177
2966,   -24,  -436,  8393
2976,  -190,  -411,  7700
2986,  -321,  -390,  7300
2995,  -407,  -349,  7080
3005,  -336,  -385,  6946
3016,  -268,  -344,  7169
3026,  -238,  -216,  7564
3036,  -241,  -228,  7910
3045,  -238,  -288,  8108
3055,  -287,  -330,  8286
3065,  -231,  -422,  8427
3075,  -159,  -549,  8568
3086,   -64,  -554,  8748
3095,   -51,  -533,  8492
3105,   -27,  -547,  8381
3115,    59,  -651,  8444
3125,   156,  -798,  8449
3135,   220,  -927,  8301
3146,   188,  -940,  8344
3156,   120,  -982,  8244
3166,   -61,  -894,  8186
3176,  -296,  -593,  8027
3186,  -576,  -221,  8004
3196,  -685,    41,  8065
3206,  -637,   -11,  8149
3216,  -576,  -175,  8153
3226,  -496,  -307,  8185
3236,  -440,  -389,  8203
3246,  -327,  -442,  8205
3256,  -262,  -433,  8210
3266,  -235,  -337,  8184
3276,  -218,  -330,  8131
3286,  -220,  -363,  8091
3296,  -215,  -417,  8070
3306,  -223,  -402,  8054
3316,  -208,  -402,  8056
3326,  -196,  -416,  8078
3336,  -190,  -415,  8105
3347,  -192,  -416,  8139
3356,  -207,  -443,  8154
3366,  -237,  -451,  8167
3377,  -203,  -494,  8179
3386,  -230,  -435,  8149
3396,  -292,  -333,  8113
3407,  -291,  -328,  8079
3416,  -293,  -321,  8071
3426,  -285,  -339,  8064
3436,  -274,  -376,  8092
3447,  -280,  -395,  8149
3456,  -282,  -400,  8203
3467,  -285,  -394,  8224
3477,  -290,  -374,  8191
3487,  -291,  -342,  8135
3497,  -288,  -355,  8082
3507,  -290,  -350,  8101
3517,  -284,  -347,  8156
3527,  -277,  -352,  8198
3537,  -283,  -376,  8200
3546,  -286,  -370,  8179
3556,  -281,  -362,  8149
3567,  -268,  -365,  8120
3577,  -261,  -364,  8102
3587,  -268,  -365,  8109
3597,  -277,  -367,  8141
3607,  -284,  -367,  8174
3617,  -287,  -364,  8173
3627,  -292,  -360,  8144
3637,  -284,  -361,  8098
3647,  -276,  -364,  8087
3657,  -275,  -368,  8107
3667,  -283,  -373,  8138
3677,  -294,  -367,  8167
3687,  -298,  -362,  8172
3697,  -291,  -360,  8153
3707,  -285,  -357,  8116
3717,  -286,  -353,  8093
3727,  -282,  -355,  8086
3737,  -276,  -367,  8113
3747,  -270,  -377,  8157
3757,  -270,  -382,  8182
3767,  -275,  -377,  8165
3777,  -277,  -372,  8130
3787,  -273,  -372,  8098
3797,  -269,  -372,  8092
3806,  -276,  -379,  8126
3816,  -280,  -387,  8157
3826,  -280,  -394,  8194
3836,  -275,  -398,  8204
3846,  -275,  -393,  8169
3856,  -281,  -378,  8117
3866,  -274,  -362,  8069
3876,  -271,  -359,  8061
3886,  -258,  -363,  8086
3896,  -254,  -372,  8123
3906,  -262,  -373,  8154
3916,  -264,  -377,  8160
3926,  -256,  -376,  8131
3936,  -252,  -377,  8106
3947,  -257,  -381,  8082
3956,  -268,  -382,  8099
3966,  -277,  -389,  8134
3976,  -282,  -398,  8175
3986,  -283,  -401,  8200
3996,  -281,  -391,  8199
4006,  -290,  -356,  8172
4016,  -282,  -356,  8128
4026,  -283,  -348,  8106
4037,  -278,  -361,  8109
4047,  -265,  -365,  8142
4057,  -263,  -391,  8176
4067,  -263,  -400,  8187
4077,  -263,  -386,  8161
4086,  -253,  -371,  8107
4096,  -252,  -371,  8071
4107,  -231,  -401,  8054
4117,  -226,  -417,  8098
4127,  -243,  -397,  8160
4137,  -209,  -369,  8224
4147,  -226,  -340,  8238
4157,  -269,  -332,  8181
4167,  -312,  -355,  8117
4177,  -344,  -367,  8108
4187,  -351,  -376,  8126
4197,  -345,  -380,  8179
4207,  -339,  -384,  8229
4216,  -330,  -391,  8233
4226,  -325,  -383,  8221
4236,  -319,  -364,  8177
4247,  -305,  -357,  8147
4257,  -293,  -369,  8124
4267,  -285,  -372,  8111
4277,  -269,  -360,  8107
4287,  -265,  -360,  8094
4297,  -185,  -321,  8031
4307,  -275,  -365,  8065
4317,  -278,  -361,  8086
4327,  -290,  -381,  8103
4337,  -278,  -383,  8117
4347,  -350,  -374,  8154
4357,  -346,  -380,  8178
4367,  -341,  -383,  8191
4377,  -343,  -366,  8180
4387,  -349,  -320,  8160
4397,  -355,  -271,  8127
4407,  -313,  -317,  8064
4417,  -308,  -304,  8048
4427,  -301,  -287,  8064
4437,  -297,  -314,  8082
4447,  -295,  -313,  8118
4457,  -282,  -368,  8119
4467,  -286,  -373,  8119
4477,  -286,  -359,  8118
4487,  -289,  -360,  8130
4497,  -284,  -365,  8153
4507,  -282,  -373,  8171
4517,  -282,  -384,  8183
4527,  -282,  -388,  8188
4537,  -284,  -384,  8173
4547,  -286,  -383,  8138
4557,  -287,  -372,  8095
4567,  -297,  -361,  8079
4577,  -305,  -356,  8092
4587,  -309,  -352,  8132
4597,  -310,  -353,  8172
4608,  -319,  -360,  8176
4618,  -313,  -354,  8156
4628,  -310,  -346,  8118
4637,  -302,  -347,  8090
4647,  -290,  -350,  8093
4657,  -288,  -357,  8126
4667,  -287,  -360,  8163
4677,  -290,  -359,  8192
4687,  -296,  -350,  8165
4697,  -295,  -342,  8114
4707,  -291,  -335,  8074
4717,  -283,  -338,  8065
4728,  -279,  -355,  8091
4737,  -274,  -361,  8131
4748,  -275,  -363,  8164
4757,  -283,  -365,  8183
4767,  -303,  -356,  8167
4777,  -304,  -348,  8126
4787,  -307,  -337,  8097
4797,  -312,  -342,  8109
4807,  -319,  -338,  8141
4817,  -333,  -334,  8176
4827,  -334,  -325,  8185
4837,  -346,  -308,  8166
4847,  -363,  -210,  8123
4857,  -389,  -147,  8109
4867,  -396,  -187,  8118
4877,  -392,  -236,  8144
4887,  -296,  -355,  8198
4898,  -237,  -459,  8201
4907,  -226,  -462,  8174
4918,  -214,  -423,  8116
4928,  -219,  -398,  8068
4938,  -238,  -383,  8108
4948,  -279,  -362,  8204
4958,  -298,  -370,  8315
4968,  -115,  -486,  8379
4978,   -23,  -562,  8149
4988,    17,  -646,  8161
4998,     0,  -599,  8337
5008,   -49,  -524,  8505
5018,  -186,  -239,  8457
5028,    17,   224,  8856
5038,    52,  -132,  9529
5048,   -12,  -181,  9698
5057,    -5,  -238,  9264
5067,    16,  -301,  8737
5077,    52,  -106,  8310
5087,   113,    90,  8090
5097,   309,   182,  7901
5107,   588,    71,  7959
5117,   974,  -203,  8224
5127,  1315,  -254,  8713
5137,  1596,  -153,  9235
5147,  1850,   -95,  9707
5157,  2036,  -126, 10070
5167,  2179,  -292, 10346
5177,  2287,  -411, 10553
5187,  2304,  -258, 10624
5197,  2241,   -40, 10457
5207,  2249,   -63, 10142
5218,  2238,  -236,  9948
5227,  2164,  -457,  9732
5237,  2148,  -762,  9225
5247,  2147, -1020,  8599
5257,  2072, -1107,  8027
5267,  2035, -1208,  7617
5277,  2009, -1326,  7493
5287,  1987, -1482,  7410
5297,  1969, -1518,  7387
5308,  1914, -1471,  7441
5318,  1753, -1191,  7590
5328,  1556,  -868,  7613
5338,  1396,  -546,  7396
5348,  1238,  -240,  7263
5358,  1110,  -120,  7262
5368,  1044,  -284,  7305
5378,   979,  -607,  7344
5387,   930,  -952,  7226
5397,   901, -1267,  6976
5407,   852, -1511,  6663
5417,   832, -1653,  6284
5427,   812, -1631,  5836
5437,   837, -1562,  5582
5447,   861, -1412,  5829
5457,   840, -1136,  6506
5468,   839,  -952,  7279
5478,   820,  -825,  7916
5488,   795,  -874,  8302
5498,   783, -1112,  8465
5508,   694, -1300,  8420
5518,   461, -1322,  8154
5528,   179, -1232,  7588
5538,   -92, -1126,  6929
5548,  -338, -1043,  6393
5558,  -535, -1001,  6087
5568,  -684,  -962,  6089
5578,  -804,  -866,  6356
5588,  -870,  -684,  6836
5598,  -974,  -365,  7298
5608, -1092,   -17,  7677
5618, -1215,   174,  7865
5628, -1272,   120,  7925
5638, -1330,    17,  8037
5648, -1392,   -66,  8205
5658, -1446,  -113,  8358
5669, -1535,  -112,  8486
5678, -1695,   -34,  8505
5688, -1892,    68,  8393
5698, -2052,    83,  8194
5708, -2153,     7,  7917
5718, -2187,   -74,  7678
5728, -2202,   -97,  7548
5738, -2212,   -72,  7565
5748, -2224,    16,  7548
5758, -2191,    51,  7440
5768, -2127,   -72,  7351
5778, -1998,  -332,  7352
5788, -1831,  -446,  7452
5798, -1655,  -374,  7667
5808, -1487,  -162,  8071
5818, -1418,   203,  8560
5828, -1347,   400,  8887
5838, -1157,   193,  8890
5848,  -937,  -284,  8681
5858,  -730,  -984,  8332
5868,  -590, -1416,  8124
5878,  -531, -1294,  8334
5888,  -483, -1267,  8737
5898,  -476, -1159,  9017
5908,  -438, -1006,  8983
5919,  -456,  -823,  8795
5929,  -466,  -672,  8659
5939,  -437,  -557,  8761
5949,  -470,  -402,  9007
5959,  -489,  -329,  9148
5969,  -424,  -380,  9088
5979,  -446,  -385,  8763
5989,  -478,  -406,  8190
5999,  -489,  -566,  7657
6009,  -476,  -843,  7386
6019,  -374, -1050,  7424
6028,  -272, -1163,  7705
6038,  -240, -1068,  8118
6048,  -299,  -842,  8534
6058,  -410,  -592,  8817
6068,  -436,  -513,  9025
6078,  -441,  -581,  9287
6088,  -479,  -645,  9453
6098,  -550,  -661,  9317
6108,  -586,  -762,  8903
6118,  -662,  -886,  8303
6128,  -749,  -959,  7692
6138,  -795,  -987,  7242
6148,  -788,  -938,  6988
6158,  -750,  -778,  6974
6168,  -751,  -578,  7157
6178,  -702,  -463,  7407
6188,  -604,  -363,  7664
6198,  -462,  -288,  8001
6208,  -339,  -239,  8504
6218,   -19,   -56,  8419
6228,  -253,    -8,  9549
6239,  -168,  -166, 10097
6249,   -66,  -539, 10081
6258,   -34,  -747,  9539
6269,     7,  -863,  8761
6279,   -35,  -932,  8207
6289,   -41,  -971,  7917
6299,   -50,  -970,  7979
6309,   -88,  -964,  8232
6319,  -159,  -947,  8513
6329,  -179,  -863,  8214
6339,  -180,  -882,  8168
6349,  -120,  -922,  8227
6359,   -53,  -968,  8244
6369,    -6, -1023,  8249
6379,    50, -1066,  8288
6389,    13, -1078,  8295
6399,   -63, -1015,  8228
6409,   -60,  -980,  8232
6419,   -98,  -920,  8206
6429,  -108,  -833,  8112
6439,  -118,  -803,  8091
6449,   -58,  -859,  8065
6459,    27,  -958,  8096
6469,    61,  -960,  8080
6479,    78,  -969,  8097
6489,    31, -1012,  8145
6499,   -17, -1055,  8175
6509,   -90, -1024,  8148
6519,  -146,  -922,  8118
6529,  -166,  -856,  8095
6539,  -203,  -739,  8057
6549,  -192,  -692,  8041
6559,  -162,  -711,  8051
6568,  -203,  -666,  8032
6579,  -257,  -621,  8036
6589,  -240,  -640,  8088
6598,  -217,  -678,  8104
6608,  -135,  -711,  8137
6618,  -102,  -765,  8163
6628,  -103,  -795,  8195
6638,  -110,  -834,  8213
6648,  -136,  -844,  8223
6658,  -119,  -906,  8210
6669,  -148,  -863,  8165
6679,  -193,  -800,  8114
6689,  -307,  -719,  8075
6699,  -361,  -676,  8085
6709,  -361,  -678,  8123
6719,  -342,  -692,  8166
6729,  -311,  -692,  8178
6739,  -314,  -658,  8137
6749,  -314,  -655,  8083
6759,  -293,  -641,  8067
6769,  -268,  -644,  8079
6779,  -242,  -653,  8122
6789,  -223,  -653,  8165
6799,  -221,  -647,  8172
6809,  -252,  -625,  8140
6819,  -247,  -629,  8103
6829,  -235,  -630,  8074
6839,  -229,  -647,  8094
6849,  -203,  -653,  8124
6859,  -192,  -670,  8159
6869,  -197,  -683,  8188
6879,  -206,  -690,  8189
6889,  -204,  -666,  8161
6899,  -198,  -662,  8132
6909,  -185,  -669,  8098
6919,  -213,  -655,  8079
6929,  -234,  -651,  8098
6939,  -251,  -644,  8121
6949,  -258,  -642,  8150
6959,  -270,  -641,  8151
6969,  -273,  -624,  8135
6979,  -265,  -611,  8116
6989,  -259,  -596,  8096
6999,  -260,  -582,  8076
7009,  -262,  -585,  8080
7019,  -258,  -612,  8101
7029,  -241,  -644,  8137
7039,  -244,  -642,  8172
7049,  -259,  -622,  8178
7059,  -271,  -591,  8156
7069,  -278,  -561,  8125
7080,  -267,  -561,  8099
7090,  -259,  -570,  8107
7100,  -262,  -577,  8121
7109,  -266,  -575,  8158
7119,  -276,  -559,  8171
7129,  -297,  -511,  8147
7139,  -286,  -508,  8106
7149,  -281,  -500,  8095
7159,  -282,  -492,  8112
7169,  -281,  -493,  8156
7179,  -284,  -491,  8178
7189,  -286,  -489,  8171
7199,  -283,  -488,  8157
7209,  -289,  -483,  8124
7219,  -297,  -471,  8115
7229,  -280,  -478,  8125
7239,  -324,  -619,  8200
7249,  -311,  -385,  8239
7259,  -295,  -402,  8209
7269,  -282,  -414,  8143
7279,  -270,  -419,  8141
7289,  -265,  -417,  8142
7299,  -266,  -421,  8121
7309,  -273,  -429,  8154
7319,  -270,  -424,  8165
7329,  -272,  -413,  8147
7339,  -284,  -399,  8134
7349,  -285,  -404,  8099
7359,  -278,  -403,  8088
7369,  -277,  -400,  8088
7379,  -268,  -398,  8102
7389,  -280,  -383,  8122
7399,  -282,  -390,  8143
7409,  -285,  -410,  8166
7419,  -298,  -398,  8169
7429,  -313,  -374,  8154
7439,  -332,  -330,  8137
7449,  -329,  -319,  8135
7459,  -321,  -313,  8141
7469,  -310,  -305,  8154
7479,  -307,  -302,  8147
7489,  -305,  -297,  8141
7499,  -307,  -288,  8120
7509,  -303,  -285,  8106
7519,  -299,  -282,  8119
7529,  -304,  -276,  8112
7539,  -311,  -276,  8126
7549,  -314,  -285,  8124
7559,  -320,  -297,  8141
7569,  -310,  -293,  8139
7579,  -306,  -283,  8141
7589,  -305,  -280,  8130
7600,  -304,  -288,  8117
7610,  -306,  -272,  8117
7620,  -309,  -277,  8128
7630,  -313,  -269,  8140
7640,  -314,  -255,  8151
7650,  -322,  -259,  8154
7660,  -317,  -264,  8134
7670,  -317,  -263,  8125
7679,  -323,  -251,  8129
7689,  -323,  -242,  8138
7699,  -322,  -238,  8155
7709,  -322,  -246,  8156
7720,  -320,  -250,  8147
7730,  -319,  -255,  8141
7740,  -315,  -255,  8134
7750,  -317,  -247,  8137
7760,  -316,  -247,  8141
7770,  -319,  -246,  8147
7780,  -321,  -240,  8140
7789,  -321,  -238,  8134
7800,  -320,  -240,  8127
7810,  -327,  -248,  8126
7819,  -328,  -248,  8136
7829,  -330,  -246,  8135
7840,  -330,  -238,  8132
7850,  -325,  -241,  8130
7860,  -326,  -240,  8135
7870,  -331,  -238,  8150
7881,  -335,  -236,  8169
7892,  -336,  -235,  8173
7902,  -330,  -250,  8176
7912,  -323,  -261,  8163
7922,  -323,  -257,  8141
7933,  -327,  -246,  8120
7943,  -325,  -243,  8100
7953,  -328,  -242,  8097
7963,  -326,  -246,  8117
7973,  -326,  -249,  8135
7982,  -324,  -246,  8150
7991,  -323,  -236,  8146
8000,  -326,  -234,  8126
8010,  -329,  -240,  8121
8019,  -336,  -238,  8118
8030,  -328,  -238,  8125
8040,  -325,  -236,  8134
8050,  -328,  -238,  8135
8060,  -329,  -232,  8133
8070,  -328,  -230,  8115
8080,  -338,  -224,  8099
8090,  -341,  -238,  8090
8100,  -346,  -233,  8133
8110,  -322,  -250,  8167
8120,  -302,  -267,  8185
8130,  -290,  -279,  8186
8140,  -296,  -270,  8173
8150,  -299,  -263,  8136
8160,  -307,  -265,  8106
8170,  -320,  -262,  8118
8180,  -333,  -278,  8121
8190,  -427,  -586,  8025
8200,  -290,  -372,  8125
8210,  -304,  -330,  8178
8220,  -289,  -320,  8155
8230,  -291,  -265,  8181
8240,  -292,  -237,  8167
8250,  -293,  -268,  8162
8260,  -299,  -292,  8124
8270,  -305,  -308,  8136
8280,  -332,  -379,  8108
8290,  -287,  -311,  8117
8300,  -281,  -200,  8129
8310,  -277,  -218,  8156
8320,  -277,  -247,  8196
8330,  -264,  -267,  8201
8340,  -303,  -261,  8173
8350,  -339,  -290,  8156
8360,  -367,  -713,  8085
8370,  -256,  -823,  8293
8380,  -274, -1114,  8283
8390,  -103, -1242,  8254
8400,  -168, -1192,  8595
8410,  -256, -1055,  8822
8420,  -327, -1011,  8623
8430,  -402, -1008,  8122
8440,  -349,  -972,  7813
8450,  -286,  -924,  8344
8460,  -336,  -680,  9525
8470,  -396,  -533, 10770
8480,  -434,  -603, 11561
8490,  -473,  -791, 11480
8500,  -497,  -941, 10682
8510,  -467, -1241,  9753
8520,  -409, -1644,  9007
8530,  -295, -2030,  8282
8540,  -208, -2173,  7516
8550,  -151, -2116,  6960
8560,  -122, -1865,  6870
8570,  -121, -1553,  7471
8580,  -108, -1237,  8539
8590,   -96, -1055,  9604
8600,   -99, -1106, 10163
8610,  -114, -1356,  9793
8620,    12, -1767,  8602
8630,   195, -2347,  7344
8640,   278, -2740,  6358
8650,   285, -2870,  5817
8660,   285, -2903,  5970
8670,   196, -2648,  6862
8680,   -15, -2062,  8123
8690,  -235, -1296,  9258
8700,  -489,  -645,  9822
8710,  -650,  -469,  9284
8720,  -612,  -609,  7950
8730,  -527, -1175,  6633
8740,  -301, -1877,  5576
8750,   -97, -2358,  5135
8760,  -105, -2396,  5389
8770,  -210, -2003,  6074
8780,  -306, -1482,  7025
8790,  -251,  -973,  8068
8800,  -143,  -603,  8820
8810,    72,  -693,  8700
8820,   265,  -857,  7927
8830,   431, -1223,  7334
8840,   551, -1674,  7191
8850,   546, -1791,  7245
8860,   499, -1695,  7372
8870,   409, -1407,  7799
8880,   233,  -870,  8391
8891,   161,  -417,  8691
8900,   156,  -185,  8874
8910,   189,  -187,  9005
8921,   243,  -379,  9058
8931,   350,  -852,  8866
8941,   304, -1323,  8302
8951,   184, -1332,  7330
8961,    78, -1077,  6569
8971,    29,  -673,  6470
8981,     5,  -353,  6761
