time,accx,accy,accz
5,    30,   133,    -3
10,    21,    92,   -10
15,    13,    64,   -14
20,    17,    39,   -31
24,     8,    26,   -33
29,     4,    23,   -34
34,     7,    13,   -39
39,    -1,    14,   -33
44,    -1,     7,   -31
49,    -7,    12,   -18
54,    -7,    14,   -15
59,    -3,     6,   -28
63,     2,    13,   -43
68,    -1,    29,   -32
73,  -101,   351,   -78
78,  -133,   398,   -65
82,   -56,   208,   -56
87,    21,   -17,   -23
92,    18,     0,  -176
97,    67,  -167,   -33
102,    77,  -202,   -19
106,    46,  -142,    -5
111,    12,   -74,    13
116,     4,   -63,   -10
120,    -4,   -75,   -34
125,     4,   -77,   -62
130,    -6,   -36,   -36
135,     2,   -32,   -70
140,    13,   -12,   -75
144,    10,    -9,   -63
149,    14,   -11,   -62
154,    12,    -9,   -64
161,    10,    -6,   -60
172,    11,    -9,   -51
181,     8,   -14,   -43
192,     7,   -13,   -49
201,    11,   -14,   -52
212,     8,   -10,   -48
222,     7,    -2,   -49
232,     3,    -4,   -44
242,     5,    -7,   -54
252,     0,    -9,   -51
262,    -3,    -8,   -47
271,    -7,    -7,   -37
282,     1,    -8,   -45
292,     4,    -8,   -50
302,     9,    -6,   -48
312,     6,    -4,   -52
322,     4,    -3,   -55
332,     0,    -1,   -48
342,     0,     0,   -44
352,     4,     4,   -43
361,     9,     0,   -44
372,    14,    -5,   -39
381,    12,    -4,   -39
392,     7,    -6,   -30
401,     2,    -3,   -21
412,     5,    -4,   -20
422,    10,    -7,   -30
432,     9,    -7,   -39
442,     9,    -2,   -37
452,    15,    -3,   -47
462,    13,    -1,   -39
472,     8,    -3,   -38
482,     1,    -6,   -34
492,    -2,    -9,   -30
502,     1,   -12,   -32
512,     2,   -10,   -41
522,     0,    -5,   -42
532,    -1,    -4,   -48
542,    -1,    -5,   -46
552,     0,    -6,   -43
562,     3,    -5,   -42
572,     3,    -4,   -43
582,     2,     0,   -37
592,     1,     2,   -40
602,     4,     7,   -41
612,     4,     0,   -42
622,     0,    -5,   -36
632,     2,    -5,   -39
642,     8,    -2,   -41
652,     6,     0,   -43
667,     9,     0,   -42
678,     8,     2,   -38
688,     9,     2,   -35
698,    11,     0,   -37
708,     7,    -1,   -35
719,     2,    -4,   -29
729,     2,    -4,   -31
739,     0,     0,   -31
749,    -1,     0,   -25
760,    -4,     0,   -34
769,    -3,    -4,   -39
778,     2,    -4,   -40
786,     4,    -3,   -46
796,     4,     0,   -49
806,     6,    -1,   -45
816,     9,    -6,   -39
