time,alfa,beta,gama
7,  86.74,  -1.33,-179.72
12,  86.74,  -1.30,-179.76
17,  86.75,  -1.29,-179.78
22,  86.76,  -1.28,-179.79
26,  86.76,  -1.29,-179.79
31,  86.76,  -1.28,-179.80
36,  86.76,  -1.28,-179.80
41,  86.75,  -1.29,-179.80
45,  86.75,  -1.31,-179.79
50,  86.75,  -1.33,-179.79
55,  86.75,  -1.36,-179.79
60,  86.76,  -1.41,-179.78
65,  86.76,  -1.48,-179.76
70,  86.75,  -1.57,-179.71
75,  86.71,  -1.69,-179.65
80,  86.66,  -1.79,-179.58
85,  86.60,  -1.89,-179.51
90,  86.54,  -1.97,-179.45
95,  86.52,  -2.03,-179.40
99,  86.52,  -2.10,-179.34
104,  86.53,  -2.16,-179.29
109,  86.53,  -2.16,-179.25
114,  86.51,  -2.13,-179.23
119,  86.52,  -2.01,-179.28
124,  86.58,  -1.90,-179.41
128,  86.60,  -1.82,-179.49
133,  86.61,  -1.74,-179.64
138,  86.61,  -1.73,-179.61
147,  86.62,  -1.75,-179.51
157,  86.62,  -1.75,-179.50
167,  86.62,  -1.73,-179.50
177,  86.63,  -1.73,-179.47
187,  86.62,  -1.73,-179.42
197,  86.62,  -1.73,-179.39
207,  86.62,  -1.72,-179.34
217,  86.62,  -1.71,-179.29
227,  86.63,  -1.70,-179.19
237,  86.64,  -1.67,-179.09
247,  86.64,  -1.65,-178.98
257,  86.65,  -1.63,-178.90
267,  86.66,  -1.61,-178.84
277,  86.66,  -1.59,-178.82
287,  86.66,  -1.59,-178.80
297,  86.67,  -1.59,-178.80
307,  86.68,  -1.57,-178.82
317,  86.68,  -1.54,-178.84
327,  86.68,  -1.53,-178.86
337,  86.68,  -1.53,-178.85
347,  86.68,  -1.52,-178.86
357,  86.68,  -1.50,-178.88
367,  86.68,  -1.50,-178.88
377,  86.68,  -1.50,-178.87
387,  86.68,  -1.50,-178.87
397,  86.68,  -1.49,-178.87
407,  86.68,  -1.48,-178.87
417,  86.68,  -1.48,-178.86
427,  86.68,  -1.47,-178.86
437,  86.68,  -1.47,-178.86
447,  86.68,  -1.48,-178.85
457,  86.68,  -1.48,-178.85
467,  86.68,  -1.47,-178.85
477,  86.68,  -1.47,-178.85
487,  86.68,  -1.47,-178.85
498,  86.68,  -1.47,-178.85
507,  86.68,  -1.47,-178.85
517,  86.68,  -1.47,-178.84
527,  86.68,  -1.47,-178.84
