time,accx,accy,accz
7,    49,   -77,  -195
12,    33,   -71,  -186
17,    15,   -48,  -123
22,   -16,    -2,  -118
26,   -12,     8,   -94
31,   -18,    13,  -114
36,   -16,    23,  -108
41,   -20,    34,  -124
45,   -22,    25,  -127
50,   -22,     9,  -156
55,    -2,   -25,  -140
60,    -2,    -9,  -141
65,   -18,    36,  -119
70,   -42,    86,  -140
75,   -44,   111,  -143
80,   -34,   108,  -138
85,   -11,    39,  -179
90,    60,   -83,  -179
95,    81,  -209,   -87
99,    81,  -203,  -147
104,    75,  -146,  -173
109,    73,   -88,  -177
114,    54,   -84,  -211
119,   190,  -225,  -373
124,     1,    43,  -231
128,  -129,   132,  -303
133,  -101,   124,    54
138,   -43,    90,   128
147,   -45,    65,  -143
157,   -39,    53,  -101
167,   -21,    37,   -61
177,   -11,    38,  -156
187,    -1,    37,  -132
197,     7,    43,  -110
207,    15,    28,  -148
217,    26,    22,  -131
227,    27,    26,   -95
237,    27,    35,  -138
247,    16,    29,  -172
257,    11,    17,  -200
267,    16,     2,  -197
277,    -5,    -1,  -189
287,   -21,     0,  -170
297,   -21,    -1,  -158
307,   -22,    -2,  -164
317,   -23,    -5,  -140
327,   -19,   -11,   -89
337,   -13,    -1,  -113
347,   -15,    16,  -133
357,    -8,    27,  -104
367,    -2,    35,   -78
377,    -8,    27,  -110
387,   -11,     5,  -117
397,   -11,   -18,  -107
407,   -12,   -31,  -130
417,    -2,   -39,  -133
427,    -2,   -26,  -122
437,    -9,    -8,  -138
447,   -19,     4,  -142
457,   -21,    10,  -140
467,   -14,    12,  -145
477,    -7,    10,  -140
487,    -1,    14,  -131
498,    -3,    14,  -137
507,   -11,    17,  -137
517,   -12,    21,  -134
527,    -9,    18,  -135
537,    -7,    23,  -129
547,    -8,    16,  -127
557,    -9,     8,  -128
568,   -12,    -6,  -131
578,   -13,   -13,  -132
587,   -14,   -14,  -137
597,   -14,   -13,  -133
607,   -10,    -4,  -134
617,    -9,     1,  -136
627,     0,    13,  -146
637,     2,    29,  -163
647,     0,    43,  -125
657,     1,    47,  -120
667,    -5,    40,  -134
677,   -13,    23,  -133
688,   -12,    12,  -128
697,   -12,     2,  -147
707,   -10,    -5,  -141
721,    -8,    -5,  -137
731,    -7,    -4,  -156
741,    -9,     1,  -150
752,   -12,     9,  -134
762,   -16,    19,  -130
772,   -10,    22,  -127
782,    -3,    21,  -138
792,    -3,    13,  -145
801,    -5,     1,  -136
811,    -3,    -3,  -140
820,    -3,     0,  -136
829,     1,     7,  -129
840,     3,    11,  -134
850,     1,    12,  -137
860,     0,    13,  -136
870,     0,    12,  -140
880,     1,     9,  -148
890,     0,     5,  -145
900,    -7,     4,  -139
910,    -7,     4,  -133
920,    -3,     4,  -132
930,    -6,     6,  -135
940,    -5,    12,  -134
950,    -4,    16,  -133
960,    -5,    13,  -131
970,    -3,    14,  -128
980,    -4,     6,  -133
990,    -1,     0,  -139
1000,    -1,     0,  -142
1010,    -2,     2,  -141
1020,    -1,     3,  -135
1030,    -3,     4,  -134
1040,    -6,     9,  -139
1050,    -5,    12,  -138
1060,    -9,     9,  -138
1070,   -14,     9,  -132
1080,   -13,     8,  -131
1090,   -14,     3,  -132
1100,   -13,     2,  -137
1110,   -11,     8,  -137
1120,   -15,    10,  -133
1130,   -13,    14,  -131
1140,   -12,    17,  -134
1150,    -7,    16,  -139
1160,    -4,    12,  -129
1170,    -3,     8,  -130
1180,    -4,     9,  -127
1190,    -7,     6,  -132
1200,    -4,    14,  -135
1210,    -9,    15,  -131
1218,   -11,    14,  -128
1228,   -11,    11,  -131
1238,    -4,    11,  -132
1248,    -2,    11,  -135
1258,    -3,     8,  -136
1268,    -5,     9,  -133
1278,    -7,     7,  -130
1288,    -7,     9,  -134
1298,    -5,     8,  -138
1308,    -2,     3,  -132
1318,     0,     5,  -129
1328,    -6,     5,  -129
1338,    -8,     9,  -131
1348,    -5,     7,  -128
1358,    -2,    -1,  -129
1368,    -4,    -6,  -134
1378,    -2,     1,  -138
1388,    -4,     5,  -137
1398,    -7,     5,  -124
1408,   -13,     9,  -127
1418,   -12,     7,  -132
1428,   -13,     2,  -124
1438,    -9,     1,  -123
1448,   -10,     0,  -132
1458,   -10,    -4,  -135
1468,   -12,    -9,  -133
1478,   -12,    -5,  -124
1488,   -10,    -2,  -136
1498,   -11,     7,  -139
1508,   -10,     9,  -139
1518,    -7,     4,  -139
1528,    -7,     1,  -143
1538,    -8,     0,  -145
1548,    -7,     1,  -139
1558,    -7,     2,  -134
1568,   -10,    10,  -132
1578,    -9,    15,  -135
1588,    -6,    18,  -133
1598,    -3,    17,  -132
1608,    -3,    15,  -140
1618,    -4,    16,  -135
1628,     0,     6,  -130
1638,    -1,     1,  -131
1648,    -4,    -2,  -133
1658,     0,    -5,  -135
1668,     1,    -6,  -142
1678,     0,     0,  -144
1688,    -2,     7,  -143
1698,    -5,    14,  -143
1708,    -8,    15,  -148
1718,    -8,    18,  -149
1728,   -10,    19,  -151
1738,    -9,    16,  -154
1748,    -5,    18,  -146
1758,    -7,    19,  -141
1768,    -9,    16,  -145
1778,   -12,    16,  -135
1788,   -12,     4,  -140
1798,    -9,    -3,  -150
1808,    -4,     0,  -146
1818,    -1,     8,  -139
1828,    -3,    12,  -135
1838,    -8,    19,  -131
1848,   -13,    25,  -130
1858,   -14,    26,  -129
1868,   -12,    16,  -131
1878,    -9,     6,  -131
1888,   -10,    -4,  -131
1898,   -12,   -10,  -135
1909,   -14,    -7,  -136
1918,    -9,     0,  -133
1932,    -8,    17,  -123
1945,    -8,    32,  -126
1953,   -10,    41,  -126
1961,   -10,    34,  -127
1972,   -10,    12,  -140
1982,   -13,    -8,  -143
1992,   -11,   -19,  -140
2001,   -12,   -22,  -143
2011,   -12,   -13,  -150
2021,   -10,     2,  -141
2031,    -9,    14,  -142
2041,   -10,    24,  -145
2051,    -4,    27,  -143
2061,    -6,    20,  -141
2070,    -8,     5,  -142
2081,    -8,    -5,  -143
2091,    -9,    -8,  -142
2101,   -11,    -8,  -145
2111,   -12,     0,  -143
2121,   -13,     3,  -135
2131,   -15,     8,  -136
2141,   -13,     9,  -126
2151,   -10,    15,  -121
2161,   -10,    21,  -127
2171,   -10,    23,  -127
2181,    -8,    13,  -128
2191,    -6,     6,  -134
2201,    -4,    -2,  -118
2211,    -9,    -5,  -115
2221,   -10,     7,  -117
2231,    -4,     9,  -152
2241,    -5,    18,  -150
