time,qw,qx,qy,qz
110,   1.00,  -0.01,  -0.01,   0.00
121,   1.00,  -0.01,  -0.02,  -0.00
142,   1.00,  -0.01,  -0.02,  -0.00
195,   1.00,  -0.01,  -0.02,  -0.00
244,   1.00,  -0.01,  -0.03,  -0.01
290,   1.00,  -0.01,  -0.03,  -0.01
340,   1.00,  -0.01,  -0.03,  -0.01
392,   1.00,  -0.01,  -0.03,  -0.01
441,   1.00,  -0.01,  -0.03,  -0.01
492,   1.00,  -0.01,  -0.04,  -0.01
541,   1.00,  -0.02,  -0.04,  -0.02
591,   1.00,  -0.02,  -0.04,  -0.02
642,   1.00,  -0.02,  -0.04,  -0.02
693,   1.00,  -0.02,  -0.04,  -0.02
743,   1.00,  -0.02,  -0.05,  -0.02
793,   1.00,  -0.02,  -0.05,  -0.02
842,   1.00,  -0.02,  -0.05,  -0.02
893,   1.00,  -0.02,  -0.05,  -0.02
942,   1.00,  -0.02,  -0.05,  -0.03
993,   1.00,  -0.02,  -0.05,  -0.03
1043,   1.00,  -0.02,  -0.05,  -0.03
1092,   1.00,  -0.02,  -0.05,  -0.03
1142,   1.00,  -0.02,  -0.06,  -0.03
1192,   1.00,  -0.02,  -0.06,  -0.03
1242,   1.00,  -0.02,  -0.06,  -0.03
1292,   1.00,  -0.02,  -0.06,  -0.04
1342,   1.00,  -0.02,  -0.06,  -0.04
1392,   1.00,  -0.02,  -0.06,  -0.04
1442,   1.00,  -0.02,  -0.06,  -0.04
1492,   1.00,  -0.02,  -0.06,  -0.04
1542,   1.00,  -0.02,  -0.06,  -0.04
1593,   1.00,  -0.02,  -0.06,  -0.04
1643,   1.00,  -0.02,  -0.06,  -0.04
1692,   1.00,  -0.02,  -0.06,  -0.04
1742,   1.00,  -0.03,  -0.06,  -0.05
1793,   1.00,  -0.03,  -0.07,  -0.05
1843,   1.00,  -0.03,  -0.07,  -0.05
1893,   1.00,  -0.03,  -0.07,  -0.05
1942,   1.00,  -0.03,  -0.07,  -0.05
1994,   1.00,  -0.03,  -0.07,  -0.05
2044,   1.00,  -0.03,  -0.07,  -0.05
2094,   1.00,  -0.03,  -0.07,  -0.05
2144,   1.00,  -0.03,  -0.07,  -0.06
2193,   1.00,  -0.03,  -0.07,  -0.06
2243,   1.00,  -0.03,  -0.07,  -0.06
2293,   1.00,  -0.03,  -0.07,  -0.06
2343,   1.00,  -0.03,  -0.07,  -0.06
2393,   1.00,  -0.03,  -0.07,  -0.06
2443,   1.00,  -0.03,  -0.07,  -0.06
2493,   1.00,  -0.03,  -0.07,  -0.06
2544,   1.00,  -0.03,  -0.07,  -0.06
2593,   0.99,  -0.03,  -0.07,  -0.07
2643,   0.99,  -0.03,  -0.07,  -0.07
2693,   0.99,  -0.03,  -0.07,  -0.07
2743,   0.99,  -0.03,  -0.07,  -0.07
2793,   0.99,  -0.03,  -0.07,  -0.07
2843,   0.99,  -0.03,  -0.07,  -0.07
2893,   0.99,  -0.03,  -0.07,  -0.07
2944,   0.99,  -0.03,  -0.07,  -0.07
2995,   0.99,  -0.03,  -0.07,  -0.07
3044,   0.99,  -0.03,  -0.07,  -0.08
3093,   0.99,  -0.03,  -0.07,  -0.08
3144,   0.99,  -0.03,  -0.07,  -0.08
3195,   0.99,  -0.03,  -0.07,  -0.08
3245,   0.99,  -0.03,  -0.07,  -0.08
3295,   0.99,  -0.03,  -0.07,  -0.08
3345,   0.99,  -0.03,  -0.07,  -0.08
3395,   0.99,  -0.03,  -0.07,  -0.08
3446,   0.99,  -0.03,  -0.07,  -0.08
3495,   0.99,  -0.03,  -0.07,  -0.08
3545,   0.99,  -0.03,  -0.07,  -0.09
3594,   0.99,  -0.03,  -0.07,  -0.09
3645,   0.99,  -0.03,  -0.07,  -0.09
3694,   0.99,  -0.03,  -0.07,  -0.09
3744,   0.99,  -0.03,  -0.07,  -0.09
3794,   0.99,  -0.03,  -0.07,  -0.09
3845,   0.99,  -0.03,  -0.07,  -0.09
3894,   0.99,  -0.03,  -0.07,  -0.09
3944,   0.99,  -0.03,  -0.07,  -0.09
3995,   0.99,  -0.03,  -0.07,  -0.10
4046,   0.99,  -0.03,  -0.07,  -0.10
4094,   0.99,  -0.03,  -0.07,  -0.10
4145,   0.99,  -0.03,  -0.07,  -0.10
4195,   0.99,  -0.03,  -0.07,  -0.10
4244,   0.99,  -0.03,  -0.07,  -0.10
4295,   0.99,  -0.03,  -0.07,  -0.10
4345,   0.99,  -0.03,  -0.07,  -0.10
4397,   0.99,  -0.03,  -0.07,  -0.10
4446,   0.99,  -0.03,  -0.07,  -0.10
4496,   0.99,  -0.03,  -0.07,  -0.11
4547,   0.99,  -0.03,  -0.07,  -0.11
4596,   0.99,  -0.03,  -0.07,  -0.11
4646,   0.99,  -0.03,  -0.07,  -0.11
4695,   0.99,  -0.03,  -0.07,  -0.11
4745,   0.99,  -0.03,  -0.07,  -0.11
4795,   0.99,  -0.03,  -0.07,  -0.11
4845,   0.99,  -0.03,  -0.07,  -0.11
4897,   0.99,  -0.03,  -0.07,  -0.11
4947,   0.99,  -0.03,  -0.07,  -0.11
4996,   0.99,  -0.03,  -0.07,  -0.12
5046,   0.99,  -0.03,  -0.07,  -0.12
5097,   0.99,  -0.03,  -0.07,  -0.12
5147,   0.99,  -0.03,  -0.07,  -0.12
5197,   0.99,  -0.03,  -0.07,  -0.12
5247,   0.99,  -0.03,  -0.07,  -0.12
5297,   0.99,  -0.03,  -0.07,  -0.12
5346,   0.99,  -0.03,  -0.07,  -0.12
5397,   0.99,  -0.03,  -0.07,  -0.12
5447,   0.99,  -0.03,  -0.07,  -0.12
5496,   0.99,  -0.03,  -0.07,  -0.12
5546,   0.99,  -0.03,  -0.07,  -0.12
5597,   0.99,  -0.03,  -0.07,  -0.13
5647,   0.99,  -0.03,  -0.07,  -0.13
5698,   0.99,  -0.03,  -0.07,  -0.13
