time,gyrx,gyry,gyrz
6,     4,    -2,    -2
11,     9,    -2,    -2
16,     9,     0,    -3
20,    11,    -1,    -1
25,    12,    -2,     0
30,    10,    -2,     1
35,     6,    -1,     2
40,     2,     0,     2
44,    -1,    -1,     3
49,    -3,    -1,     2
54,    -5,    -2,     2
59,    -7,    -6,     1
64,    -9,   -10,     1
68,   -10,   -15,     1
73,    -9,   -19,     0
78,    -6,   -23,    -1
83,    -2,   -23,    -3
88,     0,   -21,    -4
93,     2,   -15,    -4
98,     4,   -10,    -5
102,     3,    -5,    -1
107,     2,    -3,     0
112,     3,    -2,     2
117,     3,    -3,     3
121,     3,    -4,     4
126,     2,    -5,     4
131,     1,    -4,     3
136,     0,    -5,     1
141,    -1,    -4,     0
145,    -2,    -1,    -1
153,    -2,     1,    -1
163,    -2,     4,    -1
174,    -3,     6,    -1
183,    -3,     6,     0
194,    -2,     7,     0
203,    -2,     6,     0
214,    -1,     5,    -1
224,    -1,     3,    -1
234,     0,     1,    -2
243,     0,     0,    -2
253,    -2,     0,    -2
263,    -3,     1,    -3
274,    -4,     1,    -3
283,    -4,     2,    -3
293,    -4,     3,    -3
304,    -4,     4,    -3
313,    -4,     4,    -3
324,    -3,     4,    -3
334,    -2,     4,    -3
343,    -1,     2,    -3
353,     0,    -1,    -2
364,    -1,     0,     2
374,    -1,    -1,     1
384,     1,    -2,    -1
394,     0,    -1,    -3
403,    -1,     0,    -2
414,    -1,     1,    -2
424,     1,     1,    -3
434,     2,     1,    -3
444,     4,    -2,    -1
453,     7,    -7,     1
464,     9,   -10,     3
474,     9,   -11,     3
483,     8,    -9,     3
494,     5,    -6,     2
504,     1,    -2,     2
514,    -2,     1,     1
524,    -4,     4,     0
534,    -4,     7,    -1
544,    -3,    10,    -2
554,    -3,    12,    -4
563,    -2,    12,    -5
574,    -1,    12,    -6
584,     0,    11,    -6
594,    -1,    11,    -6
604,    -1,    10,    -5
614,    -1,    11,     3
624,    -1,    11,     7
634,     0,    10,     7
644,     0,     7,     5
657,    -1,     4,     2
667,    -3,     3,     2
677,    -2,     3,     3
687,     0,     1,     5
697,     0,    -1,     6
707,    -2,    -3,     7
716,    -3,    -5,     7
727,    -3,    -5,     6
737,    -3,    -1,     6
747,    -4,     4,     7
757,    -5,     8,     8
767,    -6,     8,     9
777,    -6,     5,     9
787,    -6,     1,     9
797,    -5,    -3,    10
807,    -6,    -3,    13
817,    -9,    -1,    15
827,   -10,     2,    17
837,   -11,     4,    19
847,   -13,     5,    20
856,   -14,     7,    19
866,   -17,     7,    16
876,   -19,     3,    13
886,   -19,    -1,    12
896,   -20,    -2,    11
906,   -18,    -2,    13
917,   -14,    -1,    15
926,   -10,    -2,    18
936,    -6,    -2,    20
947,     3,    -1,    23
957,    24,     7,    26
967,    30,    16,    23
978,    20,    15,    24
987,     8,    11,    28
997,    -3,     9,    31
1007,   -12,    12,    35
1017,   -22,    14,    40
1027,   -30,    13,    44
1037,   -33,     9,    48
1048,   -31,     2,    51
1057,   -25,    -6,    55
1067,   -14,   -13,    61
1076,    -7,   -19,    66
1086,    -6,   -18,    66
1097,    -5,   -14,    70
1106,    -7,   -11,    74
1116,    -6,   -12,    75
1127,    -3,   -14,    75
1136,     2,   -18,    75
1147,    12,   -25,    75
1157,    19,   -28,    72
1167,    21,   -30,    70
1177,    20,   -28,    73
1188,    19,   -28,    78
1197,    15,   -28,    82
1207,    11,   -29,    82
1217,     9,   -27,    78
1227,     8,   -26,    76
1237,     3,   -25,    74
1247,    -4,   -20,    72
1257,    -8,   -12,    71
1267,    -8,    -7,    70
1277,    -2,    -8,    67
1288,     5,   -12,    66
1298,     9,   -13,    66
1308,    12,   -13,    66
1317,    13,   -14,    65
1327,    14,   -13,    60
1338,    15,   -12,    55
1348,    16,   -12,    53
1358,    14,    -8,    53
1367,     3,    -2,    53
1377,    -7,     2,    56
1388,   -16,     3,    59
1398,   -12,     1,    61
1408,    -3,    -2,    61
1418,     6,    -6,    57
1427,    13,   -11,    51
1437,    19,   -16,    45
1448,    18,   -12,    39
1455,    10,     2,    35
1464,     1,    15,    36
1475,    -6,    22,    41
1485,    -7,    23,    45
1495,    -8,    21,    49
1505,    -7,    18,    52
1514,    -7,    18,    53
1525,    -6,    20,    53
1534,    -3,    18,    53
1545,     1,    17,    50
1555,     2,    17,    46
1564,     3,    14,    46
1575,     3,    11,    46
1585,     0,     8,    47
1595,    -6,    10,    48
1605,   -14,    13,    49
1614,   -23,    14,    48
1625,   -29,    11,    48
1635,   -27,     6,    48
1645,   -18,     3,    48
1655,    -9,     4,    48
1665,    -2,     7,    45
1675,     4,     5,    41
1685,     8,     0,    40
1695,     8,    -4,    40
1705,     6,    -7,    43
1715,    -4,    -1,    43
1725,   -13,     1,    42
1735,   -12,     1,    46
1745,    -8,     2,    49
1755,    -3,    -4,    53
1765,     7,   -16,    59
1775,    24,   -30,    62
1784,    39,   -43,    62
1795,    50,   -53,    59
1805,    54,   -54,    59
1815,    51,   -49,    60
1825,    50,   -42,    64
1835,    48,   -34,    68
1845,    44,   -27,    69
1855,    37,   -22,    68
1865,    30,   -18,    66
1875,    24,   -14,    67
1885,    16,   -11,    70
1895,     7,   -10,    76
1905,    -1,    -7,    79
1915,    -9,    -4,    79
1925,   -15,    -2,    75
1935,   -17,     0,    73
1946,   -16,     1,    73
1955,   -13,     1,    81
1965,    -8,     1,    96
1975,    -1,     1,   111
1985,    11,    -1,   121
1995,    21,    -6,   126
2005,    24,   -15,   125
2015,    16,   -27,   114
2025,     3,   -31,    95
2035,    -5,   -27,    78
2045,   -10,   -15,    64
2055,   -13,     0,    57
2065,   -15,    14,    58
2075,   -14,    22,    63
2085,    -9,    22,    68
2095,     1,    18,    71
2105,     8,    12,    71
2115,     8,     6,    67
2125,     4,     0,    61
2135,     1,    -7,    54
2145,     3,   -12,    50
2155,    11,   -14,    49
2169,    19,   -11,    49
2179,    20,    -3,    51
2189,    18,     8,    54
2199,    17,    21,    60
