time,qw,qx,qy,qz
6,-0.73535,0.01953,0.02765,-0.67694
11,-0.73541,0.01886,0.02716,-0.67682
16,-0.73566,0.01813,0.02637,-0.67670
20,-0.73578,0.01709,0.02533,-0.67664
25,-0.73578,0.01587,0.02435,-0.67664
30,-0.73572,0.01483,0.02356,-0.67682
35,-0.73553,0.01410,0.02307,-0.67700
40,-0.73535,0.01373,0.02283,-0.67725
44,-0.73505,0.01373,0.02283,-0.67755
49,-0.73486,0.01385,0.02313,-0.67780
54,-0.73462,0.01410,0.02362,-0.67798
59,-0.73444,0.01428,0.02448,-0.67816
64,-0.73425,0.01428,0.02594,-0.67828
68,-0.73407,0.01404,0.02789,-0.67841
73,-0.73395,0.01343,0.03027,-0.67847
78,-0.73383,0.01233,0.03284,-0.67847
83,-0.73389,0.01080,0.03516,-0.67828
88,-0.73407,0.00922,0.03717,-0.67804
93,-0.73431,0.00781,0.03845,-0.67773
98,-0.73456,0.00671,0.03918,-0.67743
102,-0.73474,0.00592,0.03918,-0.67725
107,-0.73468,0.00537,0.03906,-0.67731
112,-0.73450,0.00488,0.03876,-0.67755
117,-0.73425,0.00433,0.03851,-0.67786
121,-0.73389,0.00360,0.03845,-0.67828
126,-0.73346,0.00293,0.03857,-0.67871
131,-0.73315,0.00244,0.03882,-0.67902
136,-0.73297,0.00208,0.03912,-0.67920
141,-0.73285,0.00177,0.03961,-0.67926
145,-0.73285,0.00171,0.03992,-0.67926
153,-0.73297,0.00189,0.03998,-0.67920
163,-0.73303,0.00232,0.03986,-0.67908
174,-0.73309,0.00311,0.03949,-0.67902
183,-0.73309,0.00397,0.03912,-0.67908
194,-0.73309,0.00476,0.03870,-0.67908
203,-0.73309,0.00549,0.03821,-0.67908
214,-0.73315,0.00604,0.03778,-0.67908
224,-0.73322,0.00641,0.03754,-0.67902
234,-0.73334,0.00659,0.03735,-0.67883
243,-0.73352,0.00665,0.03723,-0.67871
253,-0.73364,0.00671,0.03735,-0.67853
263,-0.73383,0.00708,0.03754,-0.67834
274,-0.73401,0.00757,0.03778,-0.67810
283,-0.73425,0.00806,0.03802,-0.67786
293,-0.73450,0.00861,0.03809,-0.67755
304,-0.73468,0.00928,0.03802,-0.67731
313,-0.73492,0.01001,0.03796,-0.67706
324,-0.73511,0.01062,0.03778,-0.67688
334,-0.73535,0.01123,0.03754,-0.67664
343,-0.73560,0.01160,0.03729,-0.67639
353,-0.73578,0.01154,0.03717,-0.67621
364,-0.73566,0.01129,0.03674,-0.67633
374,-0.73541,0.01135,0.03680,-0.67657
384,-0.73547,0.01135,0.03711,-0.67651
394,-0.73560,0.01129,0.03723,-0.67633
