time,accx,accy,accz
5,     7,   -11,   -50
10,    -5,   -32,   -48
15,    -4,   -27,   -60
20,     0,   -16,   -67
24,     2,   -13,   -66
29,     2,   -15,   -64
34,     4,    -7,   -58
39,     2,   -10,   -55
44,    -3,   -26,   -46
49,    -6,   -38,   -45
54,    -6,   -26,   -51
58,    -6,     4,   -43
63,     3,    25,   -24
68,     8,    36,     2
73,    10,    45,     8
78,     5,    50,     9
82,     1,    80,     0
87,     2,    80,   -28
92,    -5,   -11,   -53
97,    18,    90,   -65
101,     8,   127,   -61
106,     8,   113,   -79
111,     8,    82,   -90
116,     1,     4,  -100
120,     0,   -33,  -101
125,     4,   -35,   -94
130,     7,   -32,   -87
135,     2,   -25,   -79
139,     0,   -29,   -63
144,    -7,   -34,   -56
150,   -10,   -23,   -47
160,    -5,   -29,   -52
170,    -1,   -35,   -55
180,     0,   -31,   -64
190,    -1,   -24,   -58
200,     2,    -3,   -60
210,    -1,     6,   -53
220,     0,    22,   -40
230,     9,    30,   -31
240,     9,    45,   -32
250,    87,  -170,  -156
260,   108,  -227,  -211
270,    80,  -162,  -172
280,    60,  -105,  -131
290,    47,   -73,  -101
300,    36,   -57,   -84
310,    23,   -50,   -73
320,    18,   -32,   -74
330,    10,   -25,   -74
340,    11,   -14,   -75
350,     6,    -8,   -71
360,     6,     1,   -63
370,     3,     0,   -57
380,    -2,    -2,   -48
390,     0,    -7,   -48
400,    -1,    -4,   -57
410,    -3,     0,   -60
420,     0,     0,   -58
430,     0,     6,   -51
440,    -1,     7,   -48
450,     1,     7,   -45
460,     0,     7,   -46
470,    -2,     4,   -44
480,    -3,     5,   -46
490,    -5,     8,   -48
500,    -4,     7,   -45
510,    -2,     4,   -49
520,    -1,     0,   -51
530,     2,    -3,   -53
540,     4,    -5,   -59
550,     4,     0,   -49
560,     2,     4,   -43
570,     2,     8,   -33
580,     0,     7,   -33
590,    -1,     1,   -41
600,     0,    -3,   -49
610,    -1,     1,   -51
624,     0,    10,   -44
634,    -1,    11,   -33
644,    -2,     5,   -35
654,     1,     0,   -42
664,     1,     1,   -47
674,     3,     0,   -51
684,     2,     0,   -55
694,    -2,    -2,   -46
704,     2,     0,   -39
714,     3,     1,   -43
724,     0,    -2,   -59
734,    -2,    -6,   -53
745,     0,    -3,   -44
754,     2,    -2,   -33
764,     5,     3,   -34
775,     0,     3,   -43
785,     5,     2,   -57
795,    14,    11,   -72
805,    17,     7,   -79
814,    23,    13,   -69
824,    37,    34,   -48
834,    26,     8,   -37
844,    18,    10,   -29
854,     6,     4,   -44
864,    -3,   -11,   -52
874,   -10,   -39,   -52
884,   -17,   -59,   -46
894,   -19,   -53,   -39
904,   -14,   -37,   -38
914,   -13,   -22,   -36
924,    -9,   -16,   -40
934,    -3,   -13,   -47
945,    -7,    -5,   -49
954,    -7,    -4,   -47
965,    -4,    -9,   -41
975,    -4,   -11,   -46
985,    -4,   -10,   -56
995,    -5,   -11,   -61
1005,    -1,   -10,   -56
1015,    -3,    -4,   -53
1025,    -4,    -3,   -47
1035,    -1,    -8,   -46
1045,    -8,    -4,   -49
1055,    -4,    -1,   -52
1065,    -4,     6,   -61
1074,    -1,     7,   -58
1084,    -1,     7,   -61
1094,    -3,     6,   -65
1104,    -2,     3,   -60
1115,     0,     3,   -57
1126,     1,    -1,   -57
1136,     1,     1,   -48
1147,    -1,     5,   -40
1157,    -1,     5,   -42
1167,     1,     7,   -51
1178,     0,     5,   -62
1188,    -1,     0,   -62
1198,     0,    -4,   -54
1209,    -1,    -1,   -56
1219,    -6,    -5,   -48
1228,    -8,   -16,   -43
1237,    -6,   -13,   -33
1246,    -3,    -8,   -43
1255,    -4,    -4,   -48
1265,    -6,    -7,   -49
1275,    -7,   -12,   -60
1285,    -3,   -10,   -65
1295,    -5,   -12,   -57
1305,    -2,    -4,   -51
1315,    -2,    -2,   -47
1325,     4,    -1,   -44
1335,     4,     2,   -52
1345,     6,     1,   -57
1355,     4,    -3,   -57
1365,     1,   -13,   -60
1375,     1,   -12,   -60
1385,     0,    -9,   -60
1395,     0,    -2,   -52
1405,    -3,     1,   -42
1415,    -4,    -1,   -50
1425,    -5,    -2,   -63
1435,     0,    -3,   -69
1445,     3,    -2,   -69
1455,     4,     2,   -65
1465,     0,     1,   -54
1475,    -6,     6,   -41
1485,    -4,     8,   -30
1495,     0,    17,   -37
1505,     0,    23,   -43
1515,    -6,    20,   -41
1525,    -5,    20,   -41
1534,     0,    24,   -41
1546,     8,    17,   -47
1554,    13,     8,   -62
1564,     8,    -8,   -74
1576,     5,   -23,   -83
1584,    -2,   -17,   -80
1594,    -8,    -5,   -56
1604,   -10,    -6,   -33
1614,   -12,    -4,    -9
1624,   -11,     0,   -12
1635,    -5,    26,   -33
1645,     0,    46,   -38
1655,     4,    71,   -14
1665,   -47,   219,    80
1675,   -58,   330,   147
1685,   -60,   123,   414
1695,  -125,   161,   553
1705,  -195,   176,   762
1715,  -200,   294,  1221
1725,   -77,   394,  1807
1735,  -151,   768,  2055
1745,  -131,  1188,  1691
1755,  -223,  1426,  1353
1765,  -263,  1395,  1096
1775,  -258,  1180,   727
1785,  -393,  1426,   316
1795,  -254,  1447,   -15
1805,  -303,  1831,   163
1815,  -407,  2262,   722
1825,  -370,  2518,  1233
1835,  -358,  2748,  1562
1845,  -293,  2835,  1697
1855,  -249,  2768,  1649
1865,  -203,  2568,  1332
1875,   -94,  2200,   823
1885,    60,  1699,   337
1895,   172,  1299,   -18
1905,   232,  1157,  -233
1915,   233,  1194,  -321
1925,   228,  1307,  -347
1935,   272,  1383,  -244
1945,   292,  1434,    76
1955,   282,  1500,   409
1965,   219,  1512,   682
1975,   167,  1339,   628
1985,   158,  1006,   137
1995,   203,   618,  -552
2005,   237,   335, -1057
2015,   252,   229, -1175
2025,   257,   301,  -967
2035,   248,   502,  -594
2045,   205,   796,  -218
2055,    84,  1196,   -16
2065,  -146,  1534,  -130
2075,  -369,  1624,  -572
2085,  -461,  1320, -1273
2095,  -277,  -209, -2625
2105,  -548,   444, -3027
2115,  -407,   171, -2449
2125,  -272,   195, -1792
2135,  -209,   338, -1197
2145,   -51,   276,  -582
2155,   -59,   315,   -99
2165,  -122,   220,   -58
2175,  -135,  -123,  -311
2185,  -187,  -419,  -488
2195,  -331,  -552,  -746
2205,  -481,  -569, -1199
2215,  -455,  -597, -1488
2225,  -353,  -722, -1404
2235,  -273,  -923, -1030
2245,  -203, -1138,  -608
2255,   -57, -1398,  -522
2265,    34, -1628,  -712
2275,   131, -1848,  -998
2285,   163, -2090, -1240
2295,    84, -2284, -1489
2305,    58, -2398, -1757
2315,    11, -2277, -1995
2325,   -24, -1859, -2022
2335,   -68, -1438, -1605
2345,  -126, -1128,  -975
2355,  -235,  -788,  -350
2365,  -313,  -554,    54
2375,  -379,  -562,   163
2385,  -407,  -614,   -52
2395,  -383,  -693,  -354
2405,  -294,  -841,  -438
2415,  -203, -1040,  -184
2425,  -164, -1244,   110
2435,  -154, -1468,   188
2445,   -73, -1654,    27
2455,   -40, -1693,   -86
2465,   -80, -1583,  -139
2475,  -170, -1473,  -186
2485,  -250, -1432,  -251
2495,  -353, -1428,  -427
2505,  -402, -1489,  -837
2515,  -308, -1661, -1409
2525,  -115, -1708, -1689
2535,   131, -1576, -1173
2545,   254, -1161,    74
2555,   231,  -491,  1350
2565,   268,   -63,  2071
2575,   264,   140,  2278
2585,   328,  -236,  2023
2595,   532, -1328,  1455
2605,   739, -2181,   773
2615,   824, -2193,   414
2625,   765, -1831,   315
2635,   647, -1247,   544
2645,   731, -1918,   644
2655,   546, -1973,   681
2665,    73, -1315,   544
2675,  -177, -1359,   180
2686,  -365, -1157,  -395
2695,  -522, -1003,  -964
2706,  -591,  -987, -1402
2716,  -465, -1319, -1595
2725,  -323, -1684, -1522
2736,  -260, -1798, -1228
2746,  -226, -1635,  -799
2756,  -274, -1187,  -516
2766,  -434,  -546,  -287
2776,  -637,   -10,  -123
2786,  -774,   297,    21
2795,  -824,   440,   252
2805,  -740,   450,   609
2816,  -600,   478,  1056
2825,  -515,   576,  1440
2835,  -348,   418,  1572
2845,   -87,    76,  1449
2855,    93,  -259,  1161
2865,   263,  -468,   734
2876,   436,  -581,   402
2887,   997,  -647, -1005
2895,   547,  -216,  -102
2905,   479,   -62,   713
2915,   437,   -70,  1374
2926,   467,  -125,  1820
2935,   486,   -94,  1902
2945,   333,    53,  1585
2955,   134,   131,  1004
2966,   -64,   146,   220
2976,  -247,   174,  -471
2986,  -375,   202,  -870
2995,  -443,   247, -1091
3005,  -342,   214, -1224
3016,  -233,   259, -1001
3026,  -157,   384,  -605
3036,  -119,   369,  -260
3045,   -77,   305,   -61
3055,   -90,   257,   117
3065,    -6,   164,   258
3075,    83,    42,   400
3086,   180,    41,   580
3095,   191,    65,   324
3105,   215,    52,   213
3115,   301,   -49,   277
3125,   392,  -192,   281
3135,   448,  -317,   134
3146,   414,  -333,   177
3156,   343,  -378,    76
3166,   161,  -294,    18
3176,   -70,    -2,  -141
3186,  -339,   352,  -164
3196,  -438,   595,  -105
3206,  -386,   533,   -21
3216,  -325,   370,   -17
3226,  -245,   240,    13
3236,  -188,   158,    32
3246,   -77,   102,    34
3256,   -12,   107,    39
3266,    14,   196,    12
3276,    29,   201,   -40
3286,    27,   169,   -80
3296,    31,   116,  -101
3306,    24,   130,  -117
3316,    40,   128,  -115
3326,    53,   112,   -93
3336,    61,   110,   -66
3347,    62,   106,   -32
3356,    49,    76,   -18
3366,    22,    62,    -5
