time,accx,accy,accz
5,  -170,   123,  8091
10,  -239,   135,  8144
19,  -278,   139,  8190
24,  -324,   134,  8216
29,  -350,   143,  8229
33,  -367,   142,  8234
38,  -384,   140,  8245
43,  -388,   136,  8260
48,  -387,   138,  8278
53,  -360,   143,  8272
58,  -362,   143,  8273
63,  -373,   141,  8275
67,  -388,   149,  8276
72,  -400,   154,  8272
77,  -410,   151,  8266
84,  -470,   126,  8275
93,  -363,   130,  8201
101,  -359,   132,  8204
109,  -358,   118,  8200
117,  -366,   127,  8200
125,  -372,   143,  8192
133,  -385,   156,  8187
141,  -363,    92,  8135
149,  -351,    68,  8108
157,  -355,    83,  8128
165,  -345,    70,  8137
173,  -342,    54,  8136
181,  -336,    34,  8146
186,  -330,    25,  8137
191,  -331,    25,  8153
196,  -332,    16,  8152
201,  -333,    18,  8156
205,  -332,    18,  8160
210,  -328,    21,  8161
217,  -326,    20,  8156
227,  -325,    24,  8154
237,  -331,    27,  8155
247,  -326,    27,  8145
257,  -323,    31,  8134
267,  -325,    34,  8131
277,  -325,    31,  8132
287,  -326,    27,  8129
297,  -324,    30,  8137
307,  -329,    37,  8149
317,  -336,    46,  8155
327,  -336,    53,  8168
337,  -337,    48,  8169
347,  -341,    24,  8162
357,  -349,   -21,  8152
367,  -349,   -22,  8151
377,  -354,    15,  8160
387,  -392,   -34,  8139
397,  -409,   -15,  8134
407,  -367,    35,  8113
417,  -375,    19,  8114
427,  -402,     0,  8129
437,  -393,     4,  8148
447,  -334,    68,  8135
457,  -298,   114,  8151
467,  -322,   114,  8166
477,  -244,   171,  8206
487,  -274,   139,  8199
497,  -283,    90,  8175
507,  -301,   113,  8157
517,  -310,   109,  8152
527,  -313,    89,  8128
537,  -325,   103,  8141
547,  -306,    14,  8193
557,  -335,   131,  8161
567,  -340,    88,  8169
577,  -343,    70,  8170
587,  -346,    87,  8147
597,  -349,    85,  8147
607,  -355,    91,  8152
617,  -359,    87,  8161
627,  -360,    98,  8165
637,  -358,    92,  8172
647,  -358,    94,  8173
657,  -357,    89,  8162
667,  -356,    87,  8150
677,  -355,    86,  8144
687,  -355,    88,  8139
697,  -354,    88,  8144
707,  -354,    84,  8154
717,  -355,    83,  8162
727,  -356,    75,  8162
737,  -360,    81,  8156
747,  -361,    84,  8145
757,  -360,    89,  8145
767,  -356,    83,  8138
777,  -360,    87,  8142
787,  -358,    91,  8144
797,  -356,    95,  8151
807,  -354,    94,  8153
817,  -350,    95,  8143
827,  -349,   100,  8127
837,  -348,    99,  8111
848,  -353,    99,  8115
858,  -358,   103,  8126
867,  -357,   100,  8143
877,  -359,   103,  8159
887,  -366,    97,  8175
900,  -365,    97,  8162
910,  -361,    94,  8146
920,  -359,    87,  8138
930,  -358,    85,  8132
941,  -358,    85,  8134
951,  -354,    89,  8141
961,  -354,    88,  8143
971,  -349,    92,  8141
981,  -351,    96,  8134
991,  -352,    96,  8125
1001,  -355,    93,  8120
1010,  -356,    92,  8130
1021,  -352,    88,  8149
1031,  -354,    86,  8161
1041,  -357,    85,  8170
1051,  -355,    87,  8167
1060,  -356,    87,  8152
1070,  -350,    85,  8141
1080,  -351,    90,  8134
1091,  -347,    92,  8139
1098,  -347,    91,  8143
1108,  -347,    93,  8152
1118,  -349,    94,  8154
1127,  -352,    91,  8147
1137,  -348,    95,  8142
1148,  -345,    99,  8133
1157,  -351,   102,  8133
1168,  -349,    99,  8141
1177,  -347,    98,  8149
1187,  -346,    95,  8163
1197,  -349,    95,  8173
1208,  -350,    93,  8163
1218,  -352,    91,  8151
1227,  -354,    91,  8141
1237,  -352,    91,  8140
1248,  -352,    89,  8145
1257,  -353,    93,  8154
1268,  -353,    96,  8152
1277,  -353,    93,  8153
1288,  -354,    89,  8142
1298,  -358,    87,  8135
1307,  -357,    91,  8127
1318,  -358,    96,  8133
1328,  -357,    92,  8142
1338,  -361,    92,  8152
1348,  -364,    93,  8157
1357,  -362,    93,  8157
1368,  -358,    94,  8152
1378,  -358,    94,  8137
1388,  -354,    97,  8136
1398,  -353,    95,  8143
1408,  -354,    97,  8148
1417,  -355,    98,  8152
1428,  -361,   101,  8150
1438,  -362,    99,  8149
1448,  -357,   100,  8149
1458,  -357,    98,  8150
1468,  -358,    97,  8142
1478,  -357,    94,  8141
1488,  -355,    96,  8149
1498,  -352,    98,  8156
1508,  -352,    96,  8156
1518,  -358,    95,  8158
1528,  -360,    93,  8152
1538,  -355,    89,  8145
1548,  -351,    87,  8141
1558,  -350,    83,  8141
1568,  -356,    85,  8145
1578,  -357,    85,  8151
1588,  -354,    84,  8156
1598,  -358,    87,  8153
1608,  -357,    90,  8153
1618,  -353,    95,  8146
1628,  -354,    94,  8147
1638,  -355,    95,  8147
1648,  -355,    98,  8149
1658,  -360,   102,  8151
1668,  -357,   103,  8145
1678,  -355,   102,  8147
1688,  -355,   102,  8143
1698,  -352,    97,  8142
1708,  -350,    97,  8137
1718,  -352,    98,  8139
1728,  -351,    98,  8140
1738,  -356,    98,  8141
1748,  -356,    92,  8142
1758,  -355,    94,  8140
1768,  -354,    95,  8137
1778,  -353,   100,  8133
1788,  -357,    98,  8140
1798,  -355,   101,  8141
1812,  -361,   100,  8143
1822,  -361,    96,  8145
1833,  -364,    99,  8142
1843,  -361,    98,  8139
1852,  -361,    95,  8136
1862,  -355,    94,  8139
1872,  -354,    90,  8144
1882,  -354,    85,  8151
1892,  -356,    83,  8159
1901,  -357,    82,  8157
1910,  -357,    88,  8153
1920,  -356,    92,  8152
1931,  -358,    92,  8147
1941,  -358,    92,  8141
1950,  -361,    90,  8138
1961,  -365,    90,  8148
1971,  -357,    88,  8154
1981,  -356,    93,  8147
1990,  -356,    97,  8137
2000,  -350,    94,  8130
2011,  -351,    95,  8121
2021,  -356,    98,  8119
2030,  -355,    99,  8123
2040,  -351,   100,  8138
2051,  -350,   101,  8140
2061,  -354,   104,  8137
2071,  -357,   103,  8138
2081,  -357,   102,  8141
2091,  -356,   101,  8140
2100,  -354,    98,  8153
2111,  -354,    95,  8157
2122,  -357,    92,  8161
2132,  -354,    90,  8160
2141,  -353,    92,  8158
2151,  -356,    89,  8149
2161,  -356,    90,  8149
2171,  -353,    85,  8146
2181,  -354,    89,  8146
2191,  -355,    92,  8149
2202,  -356,    87,  8144
2212,  -359,    84,  8147
2221,  -362,    89,  8149
2231,  -359,    93,  8148
2241,  -361,    91,  8142
2251,  -357,    86,  8148
2261,  -355,    93,  8152
2271,  -356,    97,  8152
